OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PRY Local Education Authority Primary School Shaka (31060277),cJB205Y2HJK,31060277,nlldQqQk58h,PRY Local Education Authority Primary School Sha,,2009-01-01,,,,,,,,,
PRY Local Education Authority Primary School San Shen (31060276),QzJ6cjPHmhl,31060276,nlldQqQk58h,PRY Local Education Authority Primary School San,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Sabon Pegi Kuru (31060275),UIMAhcP4OuN,31060275,nlldQqQk58h,PRY Local Education Authority Primary School Sab,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Sabon Gigan Kanar (31060274),jLu8aoRDk5z,31060274,nlldQqQk58h,PRY Local Education Authority Primary School Sab,,1975-01-01,,,,,,,,,
PRY Local Education Authority Primary School Rorian (31060272),sdy83kn56Dh,31060272,nlldQqQk58h,PRY Local Education Authority Primary School Ror,,2005-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ronchugun (31060271),GFvxzIYIKLh,31060271,nlldQqQk58h,PRY Local Education Authority Primary School Ron,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School  Rangarasang (31060270),Jx2SrJL432w,31060270,nlldQqQk58h,PRY Local Education Authority Primary School  Ra,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Rahwol Kanang (31060269),x8Z22L5UUeI,31060269,nlldQqQk58h,PRY Local Education Authority Primary School Rah,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Rabin (31060268),Ymqj2Go7z0q,31060268,nlldQqQk58h,PRY Local Education Authority Primary School Rab,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Nyango Gyel (31060267),w7es5SYVCMX,31060267,nlldQqQk58h,PRY Local Education Authority Primary School Nya,,1975-01-01,,,,,,,,,
PRY Local Education Authority Primary School Mun Gyel (31060266),qpwaV8MDOVk,31060266,nlldQqQk58h,PRY Local Education Authority Primary School Mun,,2014-01-01,,,,,,,,,
PRY Local Education Authority Primary School Lonyeng (31060265),JCxnFpdSEAo,31060265,nlldQqQk58h,PRY Local Education Authority Primary School Lon,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Lon-Gut Vwang (31060264),wpEisp8cn9v,31060264,nlldQqQk58h,PRY Local Education Authority Primary School Lon,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Logyes (31060263),K3i7ounWuj9,31060263,nlldQqQk58h,PRY Local Education Authority Primary School Log,,2010-01-01,,,,,,,,,
PRY Local Education Authority Primary School Latyi Du (31060262),b85jSlyHRh3,31060262,nlldQqQk58h,PRY Local Education Authority Primary School Lat,,1991-01-01,,,,,,,,,
PRY Local Education Authority Primary School Latya Du (31060261),NbDHRKav6VE,31060261,nlldQqQk58h,PRY Local Education Authority Primary School Lat,,1993-01-01,,,,,,,,,
PRY Local Education Authority Primary School La Fwil (31060260),hD1Q5rsS8sL,31060260,nlldQqQk58h,PRY Local Education Authority Primary School La ,,2011-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kwata Zawan (31060259),g4ZNtV9bdqG,31060259,nlldQqQk58h,PRY Local Education Authority Primary School Kwa,,1993-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kushe (31060258),ZYVSxC9dqPe,31060258,nlldQqQk58h,PRY Local Education Authority Primary School Kus,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kuru Jantar Iii (31060257),X6Ulwj5tIhR,31060257,nlldQqQk58h,PRY Local Education Authority Primary School Kur,,1958-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kuru (31060256),jHlYfphSTb6,31060256,nlldQqQk58h,PRY Local Education Authority Primary School Kur,,1948-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kufang (31060255),miQnBhfPV5s,31060255,nlldQqQk58h,PRY Local Education Authority Primary School Kuf,,2009-01-01,,,,,,,,,
PRY Local Education Authority Primary School Koroshi (31060254),hcmkkKM7RTP,31060254,nlldQqQk58h,PRY Local Education Authority Primary School Kor,,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kogom Tah (31060253),wtORJdnZnXr,31060253,nlldQqQk58h,PRY Local Education Authority Primary School Kog,,2014-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kogom (31060252),J0exj6AOWLm,31060252,nlldQqQk58h,PRY Local Education Authority Primary School Kog,,1982-01-01,,,,,,,,,
PRY Local Education Authority Primary School Katong (31060251),bVyFX0lswvu,31060251,nlldQqQk58h,PRY Local Education Authority Primary School Kat,,2013-01-01,,,,,,,,,
