OrgUnit,UID,Code,Parent,Short name,Description,Opening date,Closed date,comment,Feature type,Coordinates,URL,Contact person,Address,Email,Phone number
PVT The Salvation Nursery And Primary School Nding Loh (31010398),W8JcwnozFJX,31010398,zDqoh1adUj4,PVT The Salvation Nursery And Primary School Ndi,,2012-01-01,,,,,,,,,
PVT Rosa Academy (31010397),tm9R8TJg2LL,31010397,zDqoh1adUj4,PVT Rosa Academy (31010397),,2021-01-01,,,,,,,,,
PVT St Joseph Private School Barkin Ladi (31010395),srzAr0zTQJ3,31010395,zDqoh1adUj4,PVT St Joseph Private School Barkin Ladi (310103,,2011-01-01,,,,,,,,,
PVT Hope Academy Rachas (31010394),LrR8qdElmWV,31010394,zDqoh1adUj4,PVT Hope Academy Rachas (31010394),,2016-01-01,,,,,,,,,
PVT Soughtout Children Academy Fan (31010393),WzN6MH54gue,31010393,zDqoh1adUj4,PVT Soughtout Children Academy Fan (31010393),,2018-01-01,,,,,,,,,
PRY Local Government Education Authority Rapyam Fan (31010391),rXnWOTT4Yno,31010391,zDqoh1adUj4,PRY Local Government Education Authority Rapyam ,,1984-01-01,,,,,,,,,
PVT Cocin Private Nursery And Primary School (31010390),CSBYSeD8Ms3,31010390,zDqoh1adUj4,PVT Cocin Private Nursery And Primary School (31,,2008-01-01,,,,,,,,,
PVT Anglican Nursery And Primary And Primary School Longkat (31010387),mWKDRSpwXj8,31010387,zDqoh1adUj4,PVT Anglican Nursery And Primary And Primary Sch,,2017-01-01,,,,,,,,,
PVT Destiny International Academy (31010384),vwpnPFkhjU6,31010384,zDqoh1adUj4,PVT Destiny International Academy (31010384),,2009-01-01,,,,,,,,,
PVT Conventional Windows Academy Tusung Fan Barkin Ladi (31010383),Xu9G25fmZmo,31010383,zDqoh1adUj4,PVT Conventional Windows Academy Tusung Fan Bark,,2012-01-01,,,,,,,,,
PRY Local Education Authority Ndun-Tangur (31010382),uWIpAnUtLUP,31010382,zDqoh1adUj4,PRY Local Education Authority Ndun-Tangur (31010,,2020-01-01,,,,,,,,,
PVT Joy High School Ratt PO Box 747 Bukuru Road (31010380),nzllaWAlBSH,31010380,zDqoh1adUj4,PVT Joy High School Ratt PO Box 747 Bukuru Road ,,2019-01-01,,,,,,,,,
PRY Kankuwros Primary School (31010371),rF2WLRYR9K1,31010371,zDqoh1adUj4,PRY Kankuwros Primary School (31010371),,2005-01-01,,,,,,,,,
PVT Digital Academy Korot (31010367),DdiOnblSbaP,31010367,zDqoh1adUj4,PVT Digital Academy Korot (31010367),,2021-01-01,,,,,,,,,
PRY Local Education Authority Ratsat B (31010365),D2Hbr6J44M0,31010365,zDqoh1adUj4,PRY Local Education Authority Ratsat B (31010365,,2018-01-01,,,,,,,,,
PRY Local Education Authority Zabot (31010364),BT3YHpkLh4A,31010364,zDqoh1adUj4,PRY Local Education Authority Zabot (31010364),,2016-01-01,,,,,,,,,
PVT Nerat Private School Heipang (31010363),zo0XS015jO6,31010363,zDqoh1adUj4,PVT Nerat Private School Heipang (31010363),,2013-01-01,,,,,,,,,
PRY Local Education Authority Primary School Bek (31010362),CSYnNuLgAp1,31010362,zDqoh1adUj4,PRY Local Education Authority Primary School Bek,,1991-01-01,,,,,,,,,
PVT Mallam Baba Community Academy Primary School Gana Ropp (31010351),Hw4kIOpzztX,31010351,zDqoh1adUj4,PVT Mallam Baba Community Academy Primary School,,2019-01-01,,,,,,,,,
PVT Nurul Iman Primary School Tenti Babba (31010348),sWJYdqker4e,31010348,zDqoh1adUj4,PVT Nurul Iman Primary School Tenti Babba (31010,,2020-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kofforong (31010343),q1n52nnKjJX,31010343,zDqoh1adUj4,PRY Local Education Authority Primary School Kof,,2018-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dorong (31010342),Fth8wqDm4Ez,31010342,zDqoh1adUj4,PRY Local Education Authority Primary School Dor,,1976-01-01,,,,,,,,,
PVT Cocin Salvation School Rekim (31010341),B9h8XotoyYA,31010341,zDqoh1adUj4,PVT Cocin Salvation School Rekim (31010341),,2021-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Gana Ropp (31010315),qMjTD9jmDlK,31010315,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Gana Ropp ,,2022-01-01,,,,,,,,,
PRY Local Education Authority Primary School Vatt (31010313),bmArHPH1Qcm,31010313,zDqoh1adUj4,PRY Local Education Authority Primary School Vat,,1982-01-01,,,,,,,,,
PVT Alibras Unity Academy Primary School Barkin Ladi (31010312),glittxGCrLF,31010312,zDqoh1adUj4,PVT Alibras Unity Academy Primary School Barkin ,,2022-01-01,,,,,,,,,
PRY Ekklisiyar Kristy A Nigeria (Ekan) Primary School Foron (31010306),ImWD9JNjGKl,31010306,zDqoh1adUj4,PRY Ekklisiyar Kristy A Nigeria (Ekan) Primary S,,1935-01-01,,,,,,,,,
PVT Beacon Great International School Yow (31010303),Fld9LeMSOO6,31010303,zDqoh1adUj4,PVT Beacon Great International School Yow (31010,,2019-01-01,,,,,,,,,
PVT Shiphrah Private Schools Larwin - Foron Junction (31010297),tA9mjCU1dm0,31010297,zDqoh1adUj4,PVT Shiphrah Private Schools Larwin - Foron Junc,,2019-01-01,,,,,,,,,
PVT Nana Fatimah Academy Dorowa Babuje (31010292),Nh91hEoDFkX,31010292,zDqoh1adUj4,PVT Nana Fatimah Academy Dorowa Babuje (31010292,,2011-01-01,,,,,,,,,
PVT First Baptist Private School Dorowa Babuje (31010291),qcbUSNvRfpD,31010291,zDqoh1adUj4,PVT First Baptist Private School Dorowa Babuje (,,1987-01-01,,,,,,,,,
PRY Local Education Authority School Nding Sesut (31010290),wdpuQKivKxK,31010290,zDqoh1adUj4,PRY Local Education Authority School Nding Sesut,,2000-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ntv 2 (31010289),CXFZjEntb87,31010289,zDqoh1adUj4,PRY Local Education Authority Primary School Ntv,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Marit (31010286),Hvs7sdDAnrF,31010286,zDqoh1adUj4,PRY Local Education Authority Primary School Mar,,1973-01-01,,,,,,,,,
PVT Cocin Glory Nursery And Primary School Rite Fan (31010285),iWhzhXuClUc,31010285,zDqoh1adUj4,PVT Cocin Glory Nursery And Primary School Rite ,,2012-01-01,,,,,,,,,
PRY Local Education Authority Losus (31010283),mo6DTtFHGSP,31010283,zDqoh1adUj4,PRY Local Education Authority Losus (31010283),,2021-01-01,,,,,,,,,
PVT Kauna Kiddies (31010281),cQSCS3aaI7n,31010281,zDqoh1adUj4,PVT Kauna Kiddies (31010281),,2008-01-01,,,,,,,,,
PRY Ekan Primary School Fan - Loh (31010279),xJKTvBRprBN,31010279,zDqoh1adUj4,PRY Ekan Primary School Fan - Loh (31010279),,1943-01-01,,,,,,,,,
PRY Local Education Authority Primary School Darwat (31010276),mqEIygW5EMW,31010276,zDqoh1adUj4,PRY Local Education Authority Primary School Dar,,1990-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Makoli (31010274),sc6lY727Ds2,31010274,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Makoli (31,,2012-01-01,,,,,,,,,
PVT Nurul Iman Academy Primary School Kurra Falls (31010271),dQBmJuP6KEw,31010271,zDqoh1adUj4,PVT Nurul Iman Academy Primary School Kurra Fall,,2012-01-01,,,,,,,,,
PVT Conventional Windows Academy Rapyam (31010266),iVtgk9GM9Jn,31010266,zDqoh1adUj4,PVT Conventional Windows Academy Rapyam (3101026,,2019-01-01,,,,,,,,,
PRY Local Education Authority School Gbwakzerere (31010265),ognPlM49kwR,31010265,zDqoh1adUj4,PRY Local Education Authority School Gbwakzerere,,2019-01-01,,,,,,,,,
PVT Albayan Nursery And Primary School Exlands (31010264),BE4Gw4EKWWX,31010264,zDqoh1adUj4,PVT Albayan Nursery And Primary School Exlands (,,2018-01-01,,,,,,,,,
PVT Jamaatu Nasril Islam (Jni) Academy Barkin Ladi (31010261),Kcgatcw0mIX,31010261,zDqoh1adUj4,PVT Jamaatu Nasril Islam (Jni) Academy Barkin La,,2012-01-01,,,,,,,,,
PVT Plateau State Polytechnic Staff School Heipang (31010260),OnWZf8UROC6,31010260,zDqoh1adUj4,PVT Plateau State Polytechnic Staff School Heipa,,2013-01-01,,,,,,,,,
PVT Cocin Holyway Nursry And Primary School Kakpwis (31010259),kBCeeJfEaqr,31010259,zDqoh1adUj4,PVT Cocin Holyway Nursry And Primary School Kakp,,2010-01-01,,,,,,,,,
PVT Pamson Academy Kamang (31010258),rZl46NBVSka,31010258,zDqoh1adUj4,PVT Pamson Academy Kamang (31010258),,2018-01-01,,,,,,,,,
PVT St Barnabas Anglican School Zaron (31010256),SHaja2gCEkk,31010256,zDqoh1adUj4,PVT St Barnabas Anglican School Zaron (31010256),,2012-01-01,,,,,,,,,
PVT Conventional Wisdom Academy Tusung (31010255),aY2pFAucRAC,31010255,zDqoh1adUj4,PVT Conventional Wisdom Academy Tusung (31010255,,2012-01-01,,,,,,,,,
PVT Unique Model Private School Dorowa Babuje (31010254),uC2kFe6tpWw,31010254,zDqoh1adUj4,PVT Unique Model Private School Dorowa Babuje (3,,2019-01-01,,,,,,,,,
PRY Zot Local Education Authority Primary School Zot (31010246),QhpJ0undNE9,31010246,zDqoh1adUj4,PRY Zot Local Education Authority Primary School,,1997-01-01,,,,,,,,,
PRY Zayit Local Education Authority Primary School Zayit (31010245),g0AmEVQIhrA,31010245,zDqoh1adUj4,PRY Zayit Local Education Authority Primary Scho,,1998-01-01,,,,,,,,,
PRY Zaron Local Education Authority Primary School Zaron (31010244),g1TSpcuXNqe,31010244,zDqoh1adUj4,PRY Zaron Local Education Authority Primary Scho,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Zakupang (31010243),eEcKR41LUrl,31010243,zDqoh1adUj4,PRY Local Education Authority Primary School Zak,,1976-01-01,,,,,,,,,
PRY Yiyoh Local Education Authority Primary School Yiyoh (31010242),LVwOk0UPGaT,31010242,zDqoh1adUj4,PRY Yiyoh Local Education Authority Primary Scho,,1999-01-01,,,,,,,,,
PRY Wereh Local Education Authority Primary School Wereh (31010241),p8YLoUwiaLt,31010241,zDqoh1adUj4,PRY Wereh Local Education Authority Primary Scho,,1994-01-01,,,,,,,,,
PVT Weng Private School Nafok (31010240),l5l5WoE3odh,31010240,zDqoh1adUj4,PVT Weng Private School Nafok (31010240),,2002-01-01,,,,,,,,,
PVT Unity Nursery And Primary School Bakin-Kogi Foron (31010238),ukY9xZc7mXW,31010238,zDqoh1adUj4,PVT Unity Nursery And Primary School Bakin-Kogi ,,2013-01-01,,,,,,,,,
PRY Tusung Local Education Authority Primary School Tusung (31010236),HHs4DX59lUu,31010236,zDqoh1adUj4,PRY Tusung Local Education Authority Primary Sch,,1977-01-01,,,,,,,,,
PRY Local Education Authority Primary School Tudun Mazat Ntv 1 (31010235),WJaQlnwvPcq,31010235,zDqoh1adUj4,PRY Local Education Authority Primary School Tud,,1976-01-01,,,,,,,,,
PRY Tatu Local Education Authority Primary School Tatu (31010234),dIK7ysJlG3w,31010234,zDqoh1adUj4,PRY Tatu Local Education Authority Primary Schoo,,1975-01-01,,,,,,,,,
PVT Straight Path Action Academy (31010233),KI9vcLlagFw,31010233,zDqoh1adUj4,PVT Straight Path Action Academy (31010233),,2014-01-01,,,,,,,,,
PVT Stamg Progressive Nursery And Primary School Zaron (31010232),cds29ZS57Ta,31010232,zDqoh1adUj4,PVT Stamg Progressive Nursery And Primary School,,2006-01-01,,,,,,,,,
PRY StMathias Primary School Mazat (31010231),r3X78PD7mpU,31010231,zDqoh1adUj4,PRY StMathias Primary School Mazat (31010231),,1948-01-01,,,,,,,,,
PRY St Philips Gana Ropp Primary School Gana Ropp (31010230),A5fV1vZLz7i,31010230,zDqoh1adUj4,PRY St Philips Gana Ropp Primary School Gana Rop,,1925-01-01,,,,,,,,,
PRY St Marks Science Primary School Barkin Ladi (31010228),l2dDLU30TFt,31010228,zDqoh1adUj4,PRY St Marks Science Primary School Barkin Ladi ,,1941-01-01,,,,,,,,,
PVT St Mark;S Anglican Private School Barkin Ladi (31010227),dhkMGq0xc50,31010227,zDqoh1adUj4,PVT St Mark;S Anglican Private School Barkin Lad,,2022-01-01,,,,,,,,,
PVT St Joseph Barkin Ladi Primary School Barkin Ladi (31010226),qUQ68yv8VhQ,31010226,zDqoh1adUj4,PVT St Joseph Barkin Ladi Primary School Barkin ,,1941-01-01,,,,,,,,,
PRY St James D/Babuje Primary School James D/Babuje (31010224),n3AFTRNQzrx,31010224,zDqoh1adUj4,PRY St James D/Babuje Primary School James D/Bab,,1937-01-01,,,,,,,,,
PRY St Patricks Pilot Science School Kura Falls (31010222),p2Ov5Y5o2AV,31010222,zDqoh1adUj4,PRY St Patricks Pilot Science School Kura Falls ,,1933-01-01,,,,,,,,,
PRY St Mathiews Pilot Science Primary School Kura Falls (31010221),B0Aqb4sYT2N,31010221,zDqoh1adUj4,PRY St Mathiews Pilot Science Primary School Kur,,1929-01-01,,,,,,,,,
PRY Shurum Local Education Authority Primary School Shurum (31010218),Bzm8OwyKlR4,31010218,zDqoh1adUj4,PRY Shurum Local Education Authority Primary Sch,,2001-01-01,,,,,,,,,
PRY Shullum Local Education Authority Primary School Shullum (31010217),JLmkvdk0NWe,31010217,zDqoh1adUj4,PRY Shullum Local Education Authority Primary Sc,,2000-01-01,,,,,,,,,
PRY Shemon Local Education Authority Primary School Shemon (31010216),h1sPkCpXpJD,31010216,zDqoh1adUj4,PRY Shemon Local Education Authority Primary Sch,,2011-01-01,,,,,,,,,
PVT Salvation Nursery/Primary School Fan Loh (31010211),oMAt8cJY0zy,31010211,zDqoh1adUj4,PVT Salvation Nursery/Primary School Fan Loh (31,,2008-01-01,,,,,,,,,
PVT Sahel Academy (31010210),R52bqOMrPBN,31010210,zDqoh1adUj4,PVT Sahel Academy (31010210),,2014-01-01,,,,,,,,,
PRY Sagas Local Education Authority Primary School Sagas (31010209),AnjQwQJhlmn,31010209,zDqoh1adUj4,PRY Sagas Local Education Authority Primary Scho,,1999-01-01,,,,,,,,,
PRY Rwifware Local Education Authority Primary School Rwifware (31010208),SDdNIIfde4H,31010208,zDqoh1adUj4,PRY Rwifware Local Education Authority Primary S,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Roh-Nkyam (Ratatis) Dorowa Babuje (31010206),zAAGKSH3Nuz,31010206,zDqoh1adUj4,PRY Local Education Authority Primary School Roh,,2014-01-01,,,,,,,,,
PRY Rayogot Local Education Authority Primary School Rayogot (31010205),pK61hqWCYBl,31010205,zDqoh1adUj4,PRY Rayogot Local Education Authority Primary Sc,,2005-01-01,,,,,,,,,
PRY Rawuru Local Education Authority Primary School Rawuru (31010204),teTpQAc2gDl,31010204,zDqoh1adUj4,PRY Rawuru Local Education Authority Primary Sch,,1976-01-01,,,,,,,,,
PRY Ratt Local Education Authority Primary School Ratt (31010203),uhyMzy1UXr3,31010203,zDqoh1adUj4,PRY Ratt Local Education Authority Primary Schoo,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Mary School Ratashou (31010202),ne68UBMOi3D,31010202,zDqoh1adUj4,PRY Local Education Authority Primary School Mar,,1997-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ratas (31010201),bzOGtUQhjDW,31010201,zDqoh1adUj4,PRY Local Education Authority Primary School Rat,,1988-01-01,,,,,,,,,
PRY Rassa Local Education Authority Primary School Rassa (31010200),cytm2tmzeSk,31010200,zDqoh1adUj4,PRY Rassa Local Education Authority Primary Scho,,2000-01-01,,,,,,,,,
PRY Rashoi Local Education Authority Primary School Rashoi (31010199),HhgtKpK4RlY,31010199,zDqoh1adUj4,PRY Rashoi Local Education Authority Primary Sch,,1989-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ratsat A (31010198),DuIvYYiwvN9,31010198,zDqoh1adUj4,PRY Local Education Authority Primary School Rat,,1976-01-01,,,,,,,,,
PRY Rapwomol Local Education Authority Primary School Rapwomol (31010196),kKTVEZP1Q4f,31010196,zDqoh1adUj4,PRY Rapwomol Local Education Authority Primary S,,1976-01-01,,,,,,,,,
PRY Ranbu Local Education Authority Primary School Ranbu (31010195),xw7wp2egGhi,31010195,zDqoh1adUj4,PRY Ranbu Local Education Authority Primary Scho,,1982-01-01,,,,,,,,,
PRY Lea Rakung Gassa (31010194),Q6sEmWryzfE,31010194,zDqoh1adUj4,PRY Lea Rakung Gassa (31010194),,2002-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ranshok (31010193),ezdNPyPdDYS,31010193,zDqoh1adUj4,PRY Local Education Authority Primary School Ran,,2005-01-01,,,,,,,,,
PRY Rahol Gassa Local Education Authority Primary School Rahol Gassa (31010192),dg5s8LayKgF,31010192,zDqoh1adUj4,PRY Rahol Gassa Local Education Authority Primar,,2000-01-01,,,,,,,,,
PRY Rahai Local Education Authority Primary School Rahai (31010191),nrF9Nufiwn9,31010191,zDqoh1adUj4,PRY Rahai Local Education Authority Primary Scho,,1986-01-01,,,,,,,,,
PRY Pilot Science Primary School Rabwak (31010190),x7O3KBfMDKv,31010190,zDqoh1adUj4,PRY Pilot Science Primary School Rabwak (3101019,,1972-01-01,,,,,,,,,
PRY Pwomol Local Education Authority Primary School Pwomol (31010189),Nufpmb8cEzd,31010189,zDqoh1adUj4,PRY Pwomol Local Education Authority Primary Sch,,1988-01-01,,,,,,,,,
PRY Local Education Authority Primary School Pwogyes (31010188),Qu3bq5I0dIJ,31010188,zDqoh1adUj4,PRY Local Education Authority Primary School Pwo,,2012-01-01,,,,,,,,,
PRY Pwat Local Education Authority Primary School Pwat (31010187),O1VvksV92DV,31010187,zDqoh1adUj4,PRY Pwat Local Education Authority Primary Schoo,,2005-01-01,,,,,,,,,
PVT Preye Private School Heipang (31010186),D4prMb0RBJr,31010186,zDqoh1adUj4,PVT Preye Private School Heipang (31010186),,2013-01-01,,,,,,,,,
PRY Pilot Science School Kakuruk (31010183),vqlhk7PYeCb,31010183,zDqoh1adUj4,PRY Pilot Science School Kakuruk (31010183),,1957-01-01,,,,,,,,,
PRY Pilot Science School Exlands (31010182),tNBMSnNY5lv,31010182,zDqoh1adUj4,PRY Pilot Science School Exlands (31010182),,1962-01-01,,,,,,,,,
PRY Local Education Authority Primary School Patiko (31010181),fTjHxs84Eit,31010181,zDqoh1adUj4,PRY Local Education Authority Primary School Pat,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Pandadi (31010180),FSev8wmD0eC,31010180,zDqoh1adUj4,PRY Local Education Authority Primary School Pan,,1976-01-01,,,,,,,,,
PRY Nziring Local Education Authority Primary School Nziring (31010179),F2x8fHsNNjK,31010179,zDqoh1adUj4,PRY Nziring Local Education Authority Primary Sc,,1976-01-01,,,,,,,,,
PRY Nyarwai Local Education Authority Primary School Nyarwai (31010178),cJvegESgqEQ,31010178,zDqoh1adUj4,PRY Nyarwai Local Education Authority Primary Sc,,1976-01-01,,,,,,,,,
PRY Nta Duk Local Education Authority Primary School Nta Duk (31010177),haGaH3LKQqH,31010177,zDqoh1adUj4,PRY Nta Duk Local Education Authority Primary Sc,,2012-01-01,,,,,,,,,
PRY Normadic Takwok (31010176),ZXG6YVMS5p1,31010176,zDqoh1adUj4,PRY Normadic Takwok (31010176),,1997-01-01,,,,,,,,,
PRY Normadic Ningon (31010175),sqMuGAcu96X,31010175,zDqoh1adUj4,PRY Normadic Ningon (31010175),,2005-01-01,,,,,,,,,
PRY Normadic Luggere Sho (31010174),gUGwSwMrL3W,31010174,zDqoh1adUj4,PRY Normadic Luggere Sho (31010174),,2000-01-01,,,,,,,,,
PRY Normadic Kakuruk ( Gashish District ) (31010173),YCy32Ar15E0,31010173,zDqoh1adUj4,PRY Normadic Kakuruk ( Gashish District ) (31010,,1990-01-01,,,,,,,,,
PRY Normadic Gashish (31010172),YsBGyUpGR0K,31010172,zDqoh1adUj4,PRY Normadic Gashish (31010172),,1983-01-01,,,,,,,,,
PRY Nomadic Zargom (31010171),GVIzptnsy2Z,31010171,zDqoh1adUj4,PRY Nomadic Zargom (31010171),,1996-01-01,,,,,,,,,
PRY Nomadic Uyurai (31010170),CULZ86WaPGO,31010170,zDqoh1adUj4,PRY Nomadic Uyurai (31010170),,1993-01-01,,,,,,,,,
PRY Nomadic Tusung Primary School Tusung (31010169),VyEFgTgILGv,31010169,zDqoh1adUj4,PRY Nomadic Tusung Primary School Tusung (310101,,1973-01-01,,,,,,,,,
PRY Nomadic Primary School Wereh (31010168),n7GfEemQNDB,31010168,zDqoh1adUj4,PRY Nomadic Primary School Wereh (31010168),,1992-01-01,,,,,,,,,
PRY Nomadic Newo Primary School Newo (31010166),N2ecRh6YnZt,31010166,zDqoh1adUj4,PRY Nomadic Newo Primary School Newo (31010166),,1990-01-01,,,,,,,,,
PRY Nomadic Mazat (31010165),dP86q6WbNuD,31010165,zDqoh1adUj4,PRY Nomadic Mazat (31010165),,1983-01-01,,,,,,,,,
PRY Local Education Authority Primary School Nikum (31010163),YtBkAl8gYTm,31010163,zDqoh1adUj4,PRY Local Education Authority Primary School Nik,,2017-01-01,,,,,,,,,
PRY Newo Local Education Authority Primary School Newo (31010162),gRlBd6EIdfL,31010162,zDqoh1adUj4,PRY Newo Local Education Authority Primary Schoo,,1980-01-01,,,,,,,,,
PRY Local Government Education Authority Primary School Nding Loh (31010160),Zbcl8JNR5fC,31010160,zDqoh1adUj4,PRY Local Government Education Authority Primary,,1976-01-01,,,,,,,,,
PRY Nafan Dredge Primary School Nafan Dredge (31010159),v9ObqcVaDKN,31010159,zDqoh1adUj4,PRY Nafan Dredge Primary School Nafan Dredge (31,,1977-01-01,,,,,,,,,
PRY Matare Local Education Authority Primary School Matare (31010158),s3X8kXDkcu8,31010158,zDqoh1adUj4,PRY Matare Local Education Authority Primary Sch,,2004-01-01,,,,,,,,,
PRY Pilot Science School Mai Idon (31010155),AEkZhrPkrbN,31010155,zDqoh1adUj4,PRY Pilot Science School Mai Idon (31010155),,1972-01-01,,,,,,,,,
PRY Local Education Authority Primary School Sharu (31010153),yvG6j7WrtBP,31010153,zDqoh1adUj4,PRY Local Education Authority Primary School Sha,,2001-01-01,,,,,,,,,
PRY Local Education Authority Primary School Shanon (31010152),eeDK5CzkGYI,31010152,zDqoh1adUj4,PRY Local Education Authority Primary School Sha,,2007-01-01,,,,,,,,,
PRY Local Education Authority Primary School Guhwes (31010151),RGR0hBZVBmX,31010151,zDqoh1adUj4,PRY Local Education Authority Primary School Guh,,2011-01-01,,,,,,,,,
PRY Local Education Authority Primary School Gabwat (31010150),dzJ8x3lb72Y,31010150,zDqoh1adUj4,PRY Local Education Authority Primary School Gab,,2010-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dogo (31010148),GAwb9nL6L8s,31010148,zDqoh1adUj4,PRY Local Education Authority Primary School Dog,,1988-01-01,,,,,,,,,
PRY Local Education Authority Primary School Bel (31010147),etqrh8PFwOH,31010147,zDqoh1adUj4,PRY Local Education Authority Primary School Bel,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kangrarap (31010146),D9pTNsSNujQ,31010146,zDqoh1adUj4,PRY Local Education Authority Primary School Kan,,2004-01-01,,,,,,,,,
PRY Local Education Authority Primary School Yelwan Gindi (31010145),mQQxCyPRKET,31010145,zDqoh1adUj4,PRY Local Education Authority Primary School Yel,,1989-01-01,,,,,,,,,
PRY Local Education Authority Primary School Tenti Babba (31010143),ujuf3yph9qE,31010143,zDqoh1adUj4,PRY Local Education Authority Primary School Ten,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Takwok (31010142),nTGgC2RZOJA,31010142,zDqoh1adUj4,PRY Local Education Authority Primary School Tak,,1992-01-01,,,,,,,,,
PRY Local Education Authority Primary School Soi (31010141),CQP76tSaPQM,31010141,zDqoh1adUj4,PRY Local Education Authority Primary School Soi,,2018-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ruku (31010140),p49QqAu14Xp,31010140,zDqoh1adUj4,PRY Local Education Authority Primary School Ruk,,1977-01-01,,,,,,,,,
PRY Local Education Authority Primary School Razat (31010139),C1pRpLRPc4b,31010139,zDqoh1adUj4,PRY Local Education Authority Primary School Raz,,2009-01-01,,,,,,,,,
PRY Local Education Authority Primary School Lawuru Heipang (31010137),KsUDJ1792Eo,31010137,zDqoh1adUj4,PRY Local Education Authority Primary School Law,,2017-01-01,,,,,,,,,
PRY Local Education Authority Primary School Rarin (31010136),we3OfW7mRZP,31010136,zDqoh1adUj4,PRY Local Education Authority Primary School Rar,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Zakarek (31010135),FQ8kvdtUNOZ,31010135,zDqoh1adUj4,PRY Local Education Authority Primary School Zak,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kazok (31010134),Ra0zP3BWv6c,31010134,zDqoh1adUj4,PRY Local Education Authority Primary School Kaz,,1987-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kafi Abu (31010133),aznWSjQwPEb,31010133,zDqoh1adUj4,PRY Local Education Authority Primary School Kaf,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Primary Gawarza (31010132),HVZRcgNkFkm,31010132,zDqoh1adUj4,PRY Local Education Authority Primary School Pri,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Nyong-Ruku (31010131),TffEYHFx0eL,31010131,zDqoh1adUj4,PRY Local Education Authority Primary School Nyo,,1987-01-01,,,,,,,,,
PRY Local Education Authority Primary School Manjahota (31010130),SVkEOnJSK8s,31010130,zDqoh1adUj4,PRY Local Education Authority Primary School Man,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Maijankai 11 (31010129),k6ramXDVbJ3,31010129,zDqoh1adUj4,PRY Local Education Authority Primary School Mai,,2011-01-01,,,,,,,,,
PRY Local Education Authority Primary School Maijankai 1 (31010128),ZYTEpX02pwz,31010128,zDqoh1adUj4,PRY Local Education Authority Primary School Mai,,1976-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ra-Kara Bisichi (31010126),GLd4IF8CH9v,31010126,zDqoh1adUj4,PRY Local Education Authority Primary School Ra-,,2016-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kuba (31010123),InGgQRaFHcz,31010123,zDqoh1adUj4,PRY Local Education Authority Primary School Kub,,1980-01-01,,,,,,,,,
PRY Local Education Authority Primary School Kai (31010120),xOabwbFjnKp,31010120,zDqoh1adUj4,PRY Local Education Authority Primary School Kai,,2020-01-01,,,,,,,,,
PRY Local Education Authority Primary School Hurum (31010117),qdRZsm06zmS,31010117,zDqoh1adUj4,PRY Local Education Authority Primary School Hur,,2012-01-01,,,,,,,,,
PRY Local Education Authority Primary School Hirpya (31010116),pudYXNZX9ma,31010116,zDqoh1adUj4,PRY Local Education Authority Primary School Hir,,2003-01-01,,,,,,,,,
PRY Local Education Authority Primary School Dyeng (31010114),YVR7FsFcQG7,31010114,zDqoh1adUj4,PRY Local Education Authority Primary School Dye,,2018-01-01,,,,,,,,,
PRY Local Education Authority Primary School Ankwil One (31010113),BRQVuFVamCI,31010113,zDqoh1adUj4,PRY Local Education Authority Primary School Ank,,2006-01-01,,,,,,,,,
PRY Larwin Local Education Authority Primary School Larwin (31010111),kn0Ko0ZDyFE,31010111,zDqoh1adUj4,PRY Larwin Local Education Authority Primary Sch,,2011-01-01,,,,,,,,,
PRY Lajam Local Education Authority Primary School Lajam (31010110),rQHabLIEWiU,31010110,zDqoh1adUj4,PRY Lajam Local Education Authority Primary Scho,,2003-01-01,,,,,,,,,
PRY Local Education Authority Primary School School Kuzen (31010109),ZURHMHZEhcN,31010109,zDqoh1adUj4,PRY Local Education Authority Primary School Sch,,1979-01-01,,,,,,,,,
